what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685377434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685385342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685387430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685387957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685391585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685392543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685395074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685396212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685399296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685419709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685423758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685430100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685562161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685574229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685871413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685871858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685950795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685960030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685963473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375685966818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375686098732
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1375686102695
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375686102716
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1375686102805
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1375686102852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1375686104462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1375686105462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375686107577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375687593929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375687594622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375687599164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375687603300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691571496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691575875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691726344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1375691726351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691727161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691731275
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375691735473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691743965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691763193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1375691763198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691769289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691772164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375691772169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691773889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691783584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691788601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375691789982
